City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,78,0,13.8,clear sky
122,Aykhal,RU,66.0,111.5,49.64,98,100,14.05,light rain
123,Nishihara,JP,26.1842,127.7558,85.68,89,75,11.5,broken clouds
124,Serenje,ZM,-13.2325,30.2352,55.65,58,27,11.32,scattered clouds
125,Katsuura,JP,35.1333,140.3,75.22,91,100,9.78,moderate rain
126,Paita,PE,-5.0892,-81.1144,64.78,75,0,20.8,clear sky
127,Opuwo,NA,-18.0607,13.84,58.01,31,0,8.21,clear sky
128,Dikson,RU,73.5069,80.5464,45.37,77,82,8.32,broken clouds
129,Baruun-Urt,MN,46.6806,113.2792,66.25,75,100,11.1,overcast clouds
130,Srednekolymsk,RU,67.45,153.6833,76.42,44,47,8.59,scattered clouds
131,Mossendjo,CG,-2.9506,12.7261,64.78,97,5,3.67,clear sky
132,Tasiilaq,GL,65.6145,-37.6368,48.36,71,100,9.28,overcast clouds
133,Weyburn,CA,49.6668,-103.8511,89.82,48,11,12.66,few clouds
134,Sorland,NO,67.667,12.6934,48.06,83,100,10.42,overcast clouds
135,Awjilah,LY,29.1081,21.2869,76.39,56,0,15.28,clear sky
136,Juybar,IR,36.6412,52.9124,74.46,90,3,3.09,clear sky
137,Bambous Virieux,MU,-20.3428,57.7575,68.22,94,75,11.5,light rain
138,Hamilton,US,39.1834,-84.5333,83.64,57,75,11.5,broken clouds
139,Leningradskiy,RU,69.3833,178.4167,45.0,65,98,7.36,overcast clouds
140,San Jeronimo,PE,-11.9472,-75.2829,52.11,68,22,5.86,few clouds
141,Nikolskoye,RU,59.7035,30.7861,57.09,98,39,5.5,scattered clouds
142,Skibbereen,IE,51.55,-9.2667,61.11,89,63,4.09,broken clouds
143,Disna,BY,55.568,28.1971,50.36,97,29,10.83,scattered clouds
144,Mount Pleasant,US,32.7941,-79.8626,82.99,79,0,7.0,clear sky
145,Bilma,NE,18.6853,12.9164,83.14,54,83,3.6,broken clouds
146,Sibu,MY,2.3,111.8167,75.51,94,40,2.3,mist
147,Puro,PH,12.4841,123.3827,83.48,75,94,1.28,overcast clouds
148,Adrar,MR,20.5022,-10.0711,95.88,17,34,7.05,scattered clouds
149,Kokorevka,RU,52.5872,34.2778,50.59,97,0,4.54,clear sky
150,Dingle,PH,10.9995,122.6711,80.58,84,97,1.95,overcast clouds
151,Sinnamary,GF,5.3833,-52.95,78.01,86,52,6.62,broken clouds
152,Pskov,RU,57.8136,28.3496,55.31,88,40,8.95,scattered clouds
153,Guia De Isora,ES,28.2115,-16.7795,76.32,100,7,5.03,clear sky
154,Kodiak,US,57.79,-152.4072,60.31,72,40,6.91,scattered clouds
155,Iwanai,JP,42.9744,140.5089,64.49,97,100,7.47,moderate rain
156,Pacific Grove,US,36.6177,-121.9166,80.55,78,40,11.5,scattered clouds
157,Hofn,IS,64.2539,-15.2082,50.77,86,99,3.78,overcast clouds
158,Yulara,AU,-25.2406,130.9889,54.63,21,0,0.54,clear sky
159,Eldorado,BR,-23.7869,-54.2836,74.48,41,100,9.91,overcast clouds
160,Valparaiso,CL,-33.0393,-71.6273,49.48,88,75,9.22,broken clouds
161,Touros,BR,-5.1989,-35.4608,74.53,90,9,13.06,clear sky
162,College,US,64.8569,-147.8028,71.58,38,75,9.22,broken clouds
163,Klungkung,ID,-8.5333,115.4,77.68,87,85,2.89,overcast clouds
164,Mayo,US,38.8876,-76.5119,84.61,71,0,6.91,clear sky
165,Floro,NO,61.5996,5.0328,50.23,81,100,6.91,overcast clouds
166,Berekum,GH,7.4534,-2.584,70.63,97,90,6.24,overcast clouds
167,Cidreira,BR,-30.1811,-50.2056,62.22,97,92,8.88,overcast clouds
168,Mehamn,NO,71.0357,27.8492,53.55,87,60,5.75,broken clouds
169,Reconquista,AR,-29.15,-59.65,58.08,92,100,10.33,overcast clouds
170,Georgetown,MY,5.4112,100.3354,81.9,90,20,3.44,few clouds
171,Port Alfred,ZA,-33.5906,26.891,58.39,78,25,11.59,scattered clouds
172,Pyu,MM,18.4833,96.4333,75.83,96,97,2.48,overcast clouds
173,Kiknur,RU,57.3034,47.2011,57.97,94,38,6.49,scattered clouds
174,Yarkovo,RU,57.4028,67.0786,61.52,98,77,6.35,broken clouds
175,Igrim,RU,63.1906,64.4162,64.31,90,39,6.55,scattered clouds
176,Kavaratti,IN,10.5669,72.642,81.23,81,80,16.62,broken clouds
177,Hami,CN,42.8,93.45,80.6,9,34,12.53,scattered clouds
178,Constitucion,CL,-35.3333,-72.4167,43.09,92,100,8.52,moderate rain
179,Lalmohan,BD,22.3384,90.7419,83.66,83,20,18.99,few clouds
180,Lagoa,PT,39.05,-27.9833,68.83,92,28,12.08,scattered clouds
181,Olinda,BR,-8.0089,-34.8553,74.93,88,75,8.05,broken clouds
182,Porto-Vecchio,FR,41.591,9.2795,74.73,68,0,3.44,clear sky
183,Jadu,LY,31.953,12.0261,70.16,50,0,8.66,clear sky
184,Bremerton,US,47.5673,-122.6326,82.83,58,0,16.11,clear sky
185,Geraldton,AU,-28.7667,114.6,50.41,93,0,11.5,clear sky
186,Udachnyy,RU,66.4167,112.4,48.45,100,100,14.2,light rain
187,Ginda,IN,30.6945,78.4932,64.67,74,9,5.5,clear sky
188,Paamiut,GL,61.994,-49.6678,40.05,82,100,1.68,overcast clouds
189,Raga,SS,8.4596,25.678,69.67,86,97,1.81,overcast clouds
190,Coihaique,CL,-45.5752,-72.0662,28.35,86,20,2.3,few clouds
191,Torbat-E Jam,IR,35.244,60.6225,74.71,15,0,13.67,clear sky
192,Torbay,CA,47.6666,-52.7314,65.88,89,75,3.44,broken clouds
193,Jinxiang,CN,27.4327,120.6062,84.92,77,100,7.38,overcast clouds
194,Verkhoyansk,RU,67.5447,133.385,58.55,69,100,10.85,overcast clouds
195,Thompson,CA,55.7435,-97.8558,82.56,32,20,10.36,few clouds
