City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
659,Bongandanga,CD,79.12,scattered clouds,1.5,21.05,
662,Conakry,GN,82.47,broken clouds,9.538,-13.6773,Riviera Royal Hotel
663,Maragogi,BR,78.57,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
666,Bereda,ES,82.15,overcast clouds,43.2686,-7.5406,Pazo de Verdes
668,Westport,US,86.45,clear sky,41.1415,-73.3579,The Westport Inn
669,Honiara,SB,75.85,broken clouds,-9.4333,159.95,Heritage Park Hotel
671,Praia,CV,81.14,few clouds,14.9215,-23.5087,LT Aparthotel
673,Zhanaozen,KZ,89.89,clear sky,43.3,52.8,K.korabay 28A
675,Bull Savanna,JM,84.25,overcast clouds,17.8868,-77.5902,Big Red's
676,Gizo,SB,82.15,light rain,-8.103,156.8419,Imagination Island
677,Korla,CN,80.69,overcast clouds,41.7597,86.1469,Gulisitan Hotel
678,Oranjestad,AW,85.95,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
682,Portobelo,PA,87.12,overcast clouds,9.55,-79.65,Scuba Portobelo
684,Monroe,US,85.46,scattered clouds,43.1501,-77.6831,Rodeway Inn Rochester Airport
690,Meulaboh,ID,77.58,moderate rain,4.1363,96.1285,Kost Pria
692,Shieli,KZ,84.65,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
