City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,Eureka,40.8021,-124.1637,67.19,72,4,10.0,US,2022-07-14 00:54:10
124,Khatanga,71.9667,102.5,44.83,79,100,9.22,RU,2022-07-14 00:54:11
125,Vardo,70.3705,31.1107,51.78,100,100,2.3,NO,2022-07-14 00:54:11
126,Yoichi,43.2039,140.7703,74.57,77,100,7.87,JP,2022-07-14 00:54:12
127,Arraial Do Cabo,-22.9661,-42.0278,71.56,88,40,6.91,BR,2022-07-14 00:51:59
128,Albany,42.6001,-73.9662,70.59,81,100,3.71,US,2022-07-14 00:49:44
129,Eyl,7.9803,49.8164,80.31,63,97,24.05,SO,2022-07-14 00:54:12
130,Conceicao Da Barra,-18.5933,-39.7322,69.64,93,12,4.52,BR,2022-07-14 00:54:13
131,Barahona,18.2085,-71.1008,79.23,83,0,9.86,DO,2022-07-14 00:54:13
132,Warman,52.3168,-106.5679,89.51,33,100,11.5,CA,2022-07-14 00:54:13
133,Touros,-5.1989,-35.4608,74.86,88,40,12.03,BR,2022-07-14 00:54:14
134,Hirara,24.8,125.2833,87.66,79,75,16.11,JP,2022-07-14 00:54:14
135,Broome,42.2506,-75.833,68.7,93,23,1.99,US,2022-07-14 00:54:14
136,Rapina,58.0981,27.4636,58.3,82,100,6.2,EE,2022-07-14 00:54:15
137,Bansi,27.1833,82.9333,88.56,62,80,12.48,IN,2022-07-14 00:54:15
138,Portland,45.5234,-122.6762,82.71,46,0,5.01,US,2022-07-14 00:53:21
139,Barrow,71.2906,-156.7887,42.44,63,12,10.25,US,2022-07-14 00:51:43
140,Itarema,-2.9248,-39.9167,79.07,80,13,14.65,BR,2022-07-14 00:54:16
141,Cache Creek,50.8101,-121.3246,83.91,25,10,6.46,CA,2022-07-14 00:55:16
142,Iskateley,67.6803,53.1512,62.56,88,27,10.94,RU,2022-07-14 00:55:16
143,Miraflores,19.2167,-98.8083,63.03,74,100,2.15,MX,2022-07-14 00:51:30
144,Oudtshoorn,-33.5907,22.2014,55.76,47,7,5.23,ZA,2022-07-14 00:55:17
145,Ancud,-41.8697,-73.8203,41.23,88,100,12.26,CL,2022-07-14 00:55:17
146,Kijang,35.2442,129.2139,83.93,83,70,10.36,KR,2022-07-14 00:55:18
147,Ballina,-28.8667,153.5667,60.01,65,95,19.28,AU,2022-07-14 00:55:18
148,Chuy,-33.6971,-53.4616,46.0,86,0,9.55,UY,2022-07-14 00:51:11
149,Severo-Kurilsk,50.6789,156.125,55.22,91,100,3.11,RU,2022-07-14 00:55:18
150,Cantapoy,9.4906,125.4364,82.65,74,22,4.29,PH,2022-07-14 00:55:19
151,Najran,17.4924,44.1277,75.85,40,100,6.49,SA,2022-07-14 00:55:19
152,Masvingo,-20.0637,30.8277,51.87,54,0,1.23,ZW,2022-07-14 00:55:20
153,Impfondo,1.6381,18.0667,72.75,84,59,3.29,CG,2022-07-14 00:55:20
154,Remontnoye,46.5614,43.6501,69.44,74,5,5.46,RU,2022-07-14 00:55:20
155,Tezu,27.9167,96.1667,85.3,73,75,0.85,IN,2022-07-14 00:55:21
156,Innisfail,-17.5333,146.0333,64.31,47,6,10.83,AU,2022-07-14 00:55:21
157,Kruisfontein,-34.0033,24.7314,51.66,60,0,8.55,ZA,2022-07-14 00:51:42
158,Vostok,46.4856,135.8833,72.14,71,98,7.4,RU,2022-07-14 00:55:21
159,New Norfolk,-42.7826,147.0587,47.71,73,100,3.2,AU,2022-07-14 00:55:22
160,Nizhnyaya Tavda,57.6731,66.1725,65.57,94,19,4.72,RU,2022-07-14 00:55:22
161,Porto Novo,6.4965,2.6036,76.82,89,100,7.02,BJ,2022-07-14 00:54:20
162,Ecoporanga,-18.3733,-40.8306,64.81,91,15,3.71,BR,2022-07-14 00:55:23
163,Imbituba,-28.24,-48.6703,62.85,83,17,5.99,BR,2022-07-14 00:55:23
164,Kahului,20.8947,-156.47,83.97,90,34,15.99,US,2022-07-14 00:55:24
165,Premia De Mar,41.4921,2.3652,79.16,75,0,4.0,ES,2022-07-14 00:55:24
166,Luderitz,-26.6481,15.1594,55.36,57,0,14.14,NA,2022-07-14 00:55:24
167,Diamantino,-14.4086,-56.4461,73.31,41,99,4.27,BR,2022-07-14 00:55:25
168,Abeche,13.8292,20.8324,74.48,83,100,7.31,TD,2022-07-14 00:55:25
